{ee76f050-79a3-4188-8870-2becf538b72a} bank:/MUSIC
{16defe64-7873-4d51-a577-d635b49b3e93} bank:/Master
{8ec3deb0-0908-0113-233e-5ccb4568380b} bank:/Master.strings
{6e318ad2-e7b4-4ed7-b6a9-7e628bde298a} bank:/SFX
{990d0102-bb67-4468-b9e7-75ec129f8445} bank:/UI
{2b1f251e-6886-431c-b0b8-769be44db4db} bank:/VOX
{97f80d0c-7284-41fc-9718-efad2dae1528} bank:/Weapon
{01167319-ff6c-44f8-9a4b-5246c89a1670} bus:/
{6f33ba9f-2f04-402d-923a-5dd4140a09f7} bus:/Master
{d4d00d90-f0f2-4060-8db7-c34614b3cee8} bus:/Master/Music
{030f18b9-041d-483d-8ff5-813345da2562} bus:/Master/SFX
{fea816de-13be-4899-8c6a-89fb4fe79868} bus:/Master/UI
{5a3c083c-6415-42a4-bc2c-35f3cc3b3fbd} bus:/Master/Voice
{425d1b62-4e9a-4f52-b971-9be60801dab3} bus:/Reverb
{25cc2fe8-cb93-469e-9e2b-6f106d9c0151} event:/MUSIC/credits
{3fa609bf-d4a1-4971-8cf9-dd112a1423da} event:/MUSIC/menu_music
{4d907745-3587-487d-887b-2f14d42f0735} event:/MUSIC/survival_music
{7619788c-4f65-4d26-ba34-0828d1419ac8} event:/SFX/biomass/biomass_canister_use
{b23f27b6-3fa0-4f3f-bb62-514b0263cf11} event:/SFX/biomass/biomass_emitter
{8760b6f8-233a-4071-8cbd-96146efcbbd9} event:/SFX/biomass/biomass_grow
{d4f14acf-a44b-4ea4-89a2-9a44da2786d3} event:/SFX/enemies/cannoneer/cnn_enemy_cannonshot
{25d3891e-25ab-428e-b307-2cea2018bdd9} event:/SFX/enemies/cannoneer/cnn_fl_attack
{cefdcccb-e7a1-4269-8edd-1548bfc82a00} event:/SFX/enemies/cannoneer/cnn_fl_death
{5ec27b68-76aa-4c5c-9ad9-2b920762d79e} event:/SFX/enemies/cannoneer/cnn_fl_run_L
{97a5041a-ba94-47be-aa27-a059db4c25bf} event:/SFX/enemies/cannoneer/cnn_fl_run_M
{d76aabd1-62c2-48e7-b4b7-6737737208e9} event:/SFX/enemies/cannoneer/cnn_fl_run_S
{9949f77e-53a0-4495-99c9-1d6272e31e75} event:/SFX/enemies/cannoneer/cnn_fl_shelldetach
{bc16d071-b172-407e-a481-0d9b1501341b} event:/SFX/enemies/cannoneer/cnn_fl_walk_L
{b5cc174e-9124-4124-9f9d-9abb64aecffe} event:/SFX/enemies/cannoneer/cnn_fl_walk_M
{f3ac8447-2513-4a37-b021-8ba767263ee3} event:/SFX/enemies/cannoneer/cnn_fl_walk_S
{aac259e5-a435-4092-ae17-264ca0fdbaee} event:/SFX/enemies/scratcher/scr_fl_death
{744f0156-935b-472d-a342-d56a7ca386ae} event:/SFX/enemies/scratcher/scr_fl_fs_run
{de5719ac-b6d9-4700-a4ae-53efb43e1cd7} event:/SFX/enemies/scratcher/scr_fl_fs_walk
{8d73f261-6a2a-4c0c-a4d9-ccb8b4a5715f} event:/SFX/enemies/scratcher/scr_fl_hit
{6622f13a-bd0f-4ab0-b5c9-52e3b8265d57} event:/SFX/enemies/scratcher/scr_fl_scratch_attack
{775c9c4c-670c-4e62-93f6-6155bcc15c84} event:/SFX/items/item_cell_use
{e5207671-27b6-4e3e-909f-7874c7d9bae8} event:/SFX/items/item_decoy_land_impact
{534b1e0d-6321-45db-836d-0ddc462b5170} event:/SFX/items/item_decoy_land_start
{792797f6-99d0-421b-9502-865fdd8c6825} event:/SFX/items/item_med_use
{fe6ce102-a067-4352-8085-7c4e46f4538c} event:/SFX/items/item_mine_use
{eeb92838-0b6f-460c-8411-bda385836ab8} event:/SFX/items/item_repair_use
{77b858db-22e5-4dea-a1ec-2955eb01b001} event:/SFX/mech/mech_dash
{9bfb44e5-1ee6-4a5d-85ca-a6593bf8c6af} event:/SFX/mech/mech_death
{d07372c2-77d6-4b22-b0c8-7b833bf99a49} event:/SFX/mech/mech_fs
